figure,config,environment,size,variant,iteration,iqm,ci_low,ci_high,reps
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,71,0.9872553264622074,0.9842936015229072,0.9905977216525144,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,81,0.9888582074534478,0.9874347019909716,0.989291695183348,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,91,0.9907977785149448,0.9856714685262253,0.9953839406468538,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,101,0.9858987405802999,0.9808012920091601,0.9894189586573384,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,111,0.9894098448612985,0.9879089596901501,0.9927048121547806,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,121,0.990013814813271,0.9863154930446181,0.9936218642194578,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,131,0.9885979499093264,0.9878379174550526,0.9892955994754361,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,141,0.989374084466724,0.9877957009586718,0.9906815423442299,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,151,0.9888542386451838,0.9861884267171727,0.9921370258518541,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,161,0.9872434335078264,0.9829002896306954,0.9916345752928296,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,171,0.9901541247341478,0.9878035303333625,0.9926977267189484,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,181,0.9879939026797366,0.984130849898425,0.9894727197739238,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,191,0.9894757328920233,0.9872755086817228,0.9937343853927981,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,201,0.9878405817604214,0.9858262293615075,0.9926110687334365,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,211,0.9877554076469526,0.9855680008865629,0.9918201216874615,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,221,0.991474573758961,0.9893502737440482,0.9924311168129042,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,231,0.9885147247515412,0.9863755179551785,0.990425120322207,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,241,0.9901775171651348,0.9879340196161418,0.9910650612325363,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,251,0.9895073110786755,0.9887433750412827,0.9927339571599463,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,261,0.9868391418288572,0.9848295806422058,0.9889494085120848,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,271,0.9914641384447709,0.9874966311389982,0.9928050802175058,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,281,0.9867545143304598,0.9832885160729269,0.9887748128520798,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,291,0.9896435146513095,0.98679704963246,0.991159493062745,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,301,0.9889790717735636,0.986280604026074,0.9929716078106936,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,311,0.9910736525184493,0.9880580192806067,0.9934423986516352,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,321,0.9875017456411088,0.9863045281837843,0.9908929703598836,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,331,0.9889210341561836,0.9855799661557784,0.989569606054688,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,341,0.9911456242118596,0.9890397503003366,0.9940796298825818,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,351,0.9892975434683371,0.987529919358793,0.9928852036360709,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,361,0.9920547450407299,0.9902273045106736,0.9975719479039565,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,371,0.9892225586568273,0.9874763184691936,0.9908830022562413,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,381,0.9893465162085356,0.9848893594873629,0.9909161713692499,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,391,0.9900665876271199,0.9886221115716399,0.9910052079456381,2000
