variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi1_w64,5,100,-127.07231904935092,,,,7.803579089617489,172.98039215686273,589.98,0.51,4
phi2_w128,1,4,-355.08454676657914,,,,10.606657857894897,,1024.0,0.0,4
phi2_w128,1,8,-248.11082778960466,,,,9.57320433139801,893.0,1022.69,0.01,4
phi2_w128,1,16,-80.65447436919436,,,,4.476773481369019,291.8970588235294,526.17,0.68,4
phi2_w128,1,32,-20.06150406373665,,,,3.030327708721161,151.5,151.5,1.0,4
phi2_w128,1,50,-13.845706031173467,,,,2.8982164525985716,126.02,126.02,1.0,4
phi2_w128,1,100,-6.941472526621073,,,,2.886861038208008,81.0,81.0,1.0,4
phi2_w128,2,4,-279.7083223841712,,,,12.132268846035004,819.5,1019.91,0.02,4
phi2_w128,2,8,-304.1288757854886,,,,13.256987960338593,582.6,957.79,0.15,4
phi2_w128,2,16,-112.79532822426408,,,,4.300512332916259,412.82954545454544,486.17,0.88,4
phi2_w128,2,32,-25.097195003405215,,,,2.994362921714783,142.08,142.08,1.0,4
phi2_w128,2,50,-11.595270093735307,,,,3.026348853352094,78.6,78.6,1.0,4
phi2_w128,2,100,-3.873432165980339,,,,2.8807132482528686,34.39,34.39,1.0,4
phi2_w128,3,4,-501.71271040424705,,,,23.67646402359009,,1024.0,0.0,4
phi2_w128,3,8,-364.19463568903507,,,,17.304913291931154,,1024.0,0.0,4
phi2_w128,3,16,-260.7094211373106,,,,11.710023679733276,,1024.0,0.0,4
phi2_w128,3,32,-192.65740271067247,,,,9.089916174411774,728.0,994.4,0.1,4
phi2_w128,3,50,-112.24430528070778,,,,5.177683439254761,490.53125,682.58,0.64,4
phi2_w128,3,100,-21.64967906029895,,,,3.1950858892853726,165.32,165.32,1.0,4
phi2_w128,4,4,-286.2236252557533,,,,8.262340064048766,430.06666666666666,578.55,0.75,4
phi2_w128,4,8,-196.99768248959444,,,,5.70670930147171,471.2439024390244,570.74,0.82,4
phi2_w128,4,16,-104.50718854791485,,,,3.916723928451538,342.7,410.83,0.9,4
phi2_w128,4,32,-19.831490857321768,,,,3.035965805053711,106.32,106.32,1.0,4
phi2_w128,4,50,-8.690293488325551,,,,2.9824230337142943,57.64,57.64,1.0,4
phi2_w128,4,100,-1.9894971672538668,,,,3.0298663711547853,18.53,18.53,1.0,4
phi2_w128,5,4,-327.18544708793985,,,,10.235528247356415,491.969696969697,672.86,0.66,4
