variant,run,test_size,ep_reward,max_pairwise_distance,distance_to_com,ep_length,converged
embed_dim32,4,16,-13.555609816126525,3.3158023675282795,1.8839626119006425,153.16666666666666,0.7666666666666667
embed_dim32,4,32,-29.299789452925324,3.315072460969289,2.75119905435713,433.0833333333333,0.15
embed_dim32,4,50,-39.57053445155422,2.7728641311327618,0.7539448447624842,477.8333333333333,0.05
embed_dim32,4,100,-68.4568967419366,3.473184049129486,3.4709949692748485,500.0,0.0
embed_dim32,5,4,-5.247985523861522,2.8197153051694235,3.013010115890453,31.783333333333335,1.0
embed_dim32,5,8,-21.166943282168358,7.634074453512827,4.7648374964948745,102.91666666666667,0.8833333333333333
embed_dim32,5,16,-12.219190215691924,3.2495365341504416,3.1360357080275816,103.23333333333333,0.9
embed_dim32,5,32,-21.288127191613118,2.230665949980418,0.7796273294603452,294.53333333333336,0.55
embed_dim32,5,50,-33.20092827007174,2.218674619992574,2.28352682942152,394.7,0.2833333333333333
embed_dim32,5,100,-65.68094386036198,2.2254222432772317,1.9699189879844587,495.03333333333336,0.03333333333333333
embed_dim4,1,4,-6.233857462788,2.9414613525072735,3.082897461888691,30.85,1.0
embed_dim4,1,8,-9.34147824558119,2.5580544034639994,0.8843827834740902,93.08333333333333,0.9
embed_dim4,1,16,-21.796591700116792,2.5198980967203775,2.2765116622904316,414.53333333333336,0.2
embed_dim4,1,32,-34.87192969390502,2.5380653381347655,1.5313493573650097,500.0,0.0
embed_dim4,1,50,-46.789446220546964,2.5243467330932616,1.5966119981706144,500.0,0.0
embed_dim4,1,100,-77.46539893373847,2.535502823193868,0.8190444352130094,500.0,0.0
embed_dim4,2,4,-6.239386095122124,3.1490352114041644,1.9077196879001954,28.9,1.0
embed_dim4,2,8,-8.154326208649824,2.904175114631653,2.5935428388183936,40.78333333333333,1.0
embed_dim4,2,16,-10.077828534692525,2.7092005093892415,4.3717408662778325,51.0,1.0
embed_dim4,2,32,-12.876019880610208,2.562378732363383,2.442433740747947,59.53333333333333,1.0
embed_dim4,2,50,-14.849553474535545,2.4807546774546307,1.478365212646313,64.06666666666666,1.0
embed_dim4,2,100,-19.76548271117111,2.6018149733543394,2.9696312476899474,71.21666666666667,1.0
embed_dim4,3,4,-6.340397584795331,2.7677532037099204,3.7664042317618924,29.966666666666665,1.0
embed_dim4,3,8,-8.136502193457757,2.7874801675478618,1.450140451422582,42.28333333333333,1.0
embed_dim4,3,16,-9.841249610949308,2.67745734055837,0.6906360228371341,50.38333333333333,1.0
embed_dim4,3,32,-12.165987464537222,2.4144088506698607,2.8510985187655025,64.86666666666666,1.0
embed_dim4,3,50,-14.629487939489385,2.3638630270957948,1.4589661942583818,81.05,1.0
embed_dim4,3,100,-31.51505826699237,2.3196754574775698,2.2669889930769176,200.81666666666666,0.95
embed_dim4,4,4,-5.768690433725714,2.7303449432055156,1.6219781969984373,29.016666666666666,1.0
embed_dim4,4,8,-8.071799887871991,2.637353277206421,1.7756837129592895,43.4,1.0
embed_dim4,4,16,-10.529933077034851,2.40729413429896,1.667009796469938,58.166666666666664,1.0
embed_dim4,4,32,-12.692912846058608,2.3386136889457703,2.891443040263645,67.3,1.0
embed_dim4,4,50,-15.309081286316117,2.322205690542857,2.145197447686767,78.36666666666666,1.0
embed_dim4,4,100,-21.91801985291143,2.197760494550069,1.9986310101305134,90.01666666666667,1.0
embed_dim4,5,4,-7.552148261961217,2.412462035814921,2.3359889389947055,37.083333333333336,1.0
embed_dim4,5,8,-9.363213334511965,2.399170486132304,0.7302564557292499,47.31666666666667,1.0
embed_dim4,5,16,-11.215031852355848,2.464028799533844,0.7479572041115413,56.916666666666664,1.0
embed_dim4,5,32,-14.716757234496376,2.446141982078552,1.9179247667285382,65.25,1.0
embed_dim4,5,50,-17.50979387126863,2.559282712141673,0.4450438499123168,71.83333333333333,1.0
embed_dim4,5,100,-23.792086851969362,2.519468418757121,1.4568385932717163,78.33333333333333,1.0
embed_dim64,1,4,-5.214688774012029,2.909997363885244,4.193750124890357,27.5,1.0
embed_dim64,1,8,-7.33242988466906,2.51315952539444,4.601789864556243,40.93333333333333,1.0
embed_dim64,1,16,-8.765509543009102,2.460007623831431,1.9436930601640294,52.53333333333333,1.0
embed_dim64,1,32,-13.041731585562228,3.049550747871399,1.849608271747517,70.85,0.9833333333333333
embed_dim64,1,50,-13.188172596134246,2.2677770773569743,2.247266108036041,68.0,1.0
